id_registro,sigla_certificadora,nome_certificadora,id_publico_projeto,nome_projeto,data_snapshot,pais_padronizado,longitude_ponto,latitude_ponto,arquivo_origem,arquivo_bronze_existe,referencias_kml_kmz_no_detalhe,qtde_documentos_espaciais,qtde_erros_download_documentos_espaciais,qtde_erros_parse_documentos_espaciais,qtde_docs_espaciais_com_poligono,qtde_docs_espaciais_sem_poligono,motivo_resultado_ponto
BCR_109_2026-04-01,BCR,biocarbon,BCR-TR-195-13-001,AREL MILAS LFG & BIOMETHANISATION PLANT PROJECT,2026-04-02,Türkiye,27.745137,37.334777,BCR-TR-195-13-001.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
BCR_110_2026-04-01,BCR,biocarbon,BCR-AR-131-1-005,Lindero PV Captive Power Plant with BESS Integration,2026-04-02,Argentina,-67.75,-25.75,BCR-AR-131-1-005.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
BCR_111_2026-04-01,BCR,biocarbon,BCR-TR-259-13-001,ASKOC DIYARBAKIR BIOGAS PLANT,2026-04-02,Türkiye,39.916823,37.891538,BCR-TR-259-13-001.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
BCR_112_2026-04-01,BCR,biocarbon,BCR-CL-151-1-001,Andes Solar IV,2026-04-02,Chile,-68.572113,-24.021084,BCR-CL-151-1-001.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
BCR_113_2026-04-01,BCR,biocarbon,BCR-CO-666-14-002,REDD+ Llanos del Yarí – Yaguara II,2026-04-02,Colombia,-73.58209,1.77105,BCR-CO-666-14-002.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5639_2026-04-01,VCS,verra,5639,Sustainable Grassland Management Project in Sukhbaatar Province,2026-04-02,Mongolia,114.023887,45.326388,5639.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5640_2026-04-01,VCS,verra,5640,Sustainable Grassland Management Project in Tov Province,2026-04-02,Mongolia,106.599719,47.134444,5640.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5645_2026-04-01,VCS,verra,5645,CBG PROJECT BY SILVERTOAN PAPERS LIMITED,2026-04-02,India,77.786225,29.468757,5645.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5646_2026-04-01,VCS,verra,5646,Mkomazi Alienfuel Avoided Landfilling Project,2026-04-02,South Africa,30.775405,-30.179233,5646.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5648_2026-04-01,VCS,verra,5648,Guizhou Wangjiazhai CMM Power Generation Project,2026-04-02,China,105.46233,26.78408,5648.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5649_2026-04-01,VCS,verra,5649,Cquestra,2026-04-02,Pakistan,69.808287,27.967043,5649.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5650_2026-04-01,VCS,verra,5650,Akdeniz Landfill Gas Power Plant,2026-04-02,T?rkiye,34.756505,36.896879,5650.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5654_2026-04-01,VCS,verra,5654,EMPLOYEE MICRO-MOBILITY COMMUTING AND BUSINESS TRANSPORTATION EMISSION REDUCTION PLAN,2026-04-02,China,121.032536,24.983821,5654.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5656_2026-04-01,VCS,verra,5656,Henan Juji CMM Power Generation Project,2026-04-02,China,116.50059,33.92819,5656.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5657_2026-04-01,VCS,verra,5657,The Smart Aircraft Charging Network (United Kingdom),2026-04-02,United Kingdom,-0.29049,50.83336,5657.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5661_2026-04-01,VCS,verra,5661,Costa Rica Landfill Gas Project,2026-04-02,Costa Rica,-84.156729,9.966251,5661.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5662_2026-04-01,VCS,verra,5662,Brazilian Citrus Program For Climate Adaptation,2026-04-02,Brazil,-48.406835,-19.327555,5662.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5666_2026-04-01,VCS,verra,5666,EnviroServ LFG Grouped Project,2026-04-02,South Africa,18.53375,-33.766852,5666.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5668_2026-04-01,VCS,verra,5668,A-Gas South Africa 2,2026-04-02,South Africa,28.233,-25.9414,5668.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5674_2026-04-01,VCS,verra,5674,Guizhou Faer CMM Power Generation Project,2026-04-02,China,104.72974,26.3173,5674.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5675_2026-04-01,VCS,verra,5675,Henan Liangbei CMM Power Generation Project,2026-04-02,China,113.4493,34.11767,5675.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5676_2026-04-01,VCS,verra,5676,MISITU ARR PROJECT - MT. KENYA REGION,2026-04-02,Kenya,37.59,0.25,5676.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5677_2026-04-01,VCS,verra,5677,Guizhou Longfeng CMM Power Generation Project,2026-04-02,China,106.211663,27.347244,5677.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5685_2026-04-01,VCS,verra,5685,CBG Generation from Agro Waste,2026-04-02,India,80.364582,27.4123,5685.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5686_2026-04-01,VCS,verra,5686,Shanxi Lvliang Junliu CMM Power Generation Project,2026-04-02,China,110.994117,37.332954,5686.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5690_2026-04-01,VCS,verra,5690,RAMA GREEN BIO-CNG PROJECT IN INDIA,2026-04-02,India,77.068998,29.76454,5690.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5692_2026-04-01,VCS,verra,5692,"Improved Cookstove Initiative in Karatu District, Tanzania",2026-04-02,"Tanzania, United Republic of",36.682995,3.386925,5692.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5695_2026-04-01,VCS,verra,5695,Siluk Peatlands Conservation Project (SPCP),2026-04-02,Indonesia,112.80812,0.997319,5695.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5698_2026-04-01,VCS,verra,5698,Qingdao Haier Recycling Industry E-waste recovery and utilization Project,2026-04-02,China,120.566828,36.636302,5698.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5700_2026-04-01,VCS,verra,5700,EcoHarvest Sustainable Agriculture Project,2026-04-02,Kazakhstan,69.27861,52.556103,5700.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5701_2026-04-01,VCS,verra,5701,Sustainable Regenerative Agriculture Project with Ecologically Oriented and Organic Integration,2026-04-02,Kazakhstan,70.991,51.699,5701.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5711_2026-04-01,VCS,verra,5711,CO2 Utilization in Concrete – Removals & Reductions – CarbonCure – International Project #1,2026-04-02,United States,-121.890556,37.336111,5711.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5712_2026-04-01,VCS,verra,5712,VIETNAM ELECTRIC VEHICLE CHARGING SYSTEM(VEVCS),2026-04-02,Viet Nam,107.102166,10.352831,5712.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5713_2026-04-01,VCS,verra,5713,Afforestation Project in Mongolia,2026-04-02,Mongolia,104.933333,48.866666,5713.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5715_2026-04-01,VCS,verra,5715,IGL Grouped Waste to CBG Project,2026-04-02,India,77.063333,28.821387,5715.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5716_2026-04-01,VCS,verra,5716,SALVADOR BIOMETHANE PROJECT,2026-04-02,Brazil,-38.3668,-12.8629,5716.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5717_2026-04-01,VCS,verra,5717,CO2 Utilization in Concrete - Carbicrete's Canal Block Plant,2026-04-02,Canada,-79.267276,42.939387,5717.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5727_2026-04-01,VCS,verra,5727,Methane emissions reduction through feed supplement for ruminant animals in Kenya by AgCoTech,2026-04-02,Kenya,37.129165,1.742498,5727.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5733_2026-04-01,VCS,verra,5733,Methane emissions reduction through feed supplement for ruminant animals in Cambodia by AgCoTech,2026-04-02,Cambodia,104.91601,11.56245,5733.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5734_2026-04-01,VCS,verra,5734,Methane emissions reduction through feed supplement for ruminant animals in Lesotho by AgCoTech,2026-04-02,Lesotho,28.23347,-29.62319,5734.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5735_2026-04-01,VCS,verra,5735,Methane emissions reduction through feed supplement for ruminant animals in Thailand by AgCoTech,2026-04-02,Thailand,100.992541,15.870032,5735.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5736_2026-04-01,VCS,verra,5736,Kapuas Pisau Conservation Project,2026-04-02,Indonesia,114.0296,-1.782633,5736.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5737_2026-04-01,VCS,verra,5737,Beypi Poultry Waste to Energy Project,2026-04-02,T?rkiye,31.680877,40.741373,5737.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5744_2026-04-01,VCS,verra,5744,Stickland Municipal Composting Project,2026-04-02,Canada,-113.973746,52.161759,5744.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5745_2026-04-01,VCS,verra,5745,VATTHANA Cassava Starch Plant Carbon Emission Reduction Project in Laos,2026-04-02,Lao People's Democratic Republic,106.114,15.693,5745.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5753_2026-04-01,VCS,verra,5753,CARBON DISCLOSURE SA SOLAR PV GROUPED PROJECT 2,2026-04-02,South Africa,18.670475,-33.817422,5753.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5755_2026-04-01,VCS,verra,5755,SATROKALA ARR GROUPED PROJECT,2026-04-02,Madagascar,45.71535,-22.330563,5755.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5756_2026-04-01,VCS,verra,5756,El Estero biogas recovery and utilization,2026-04-02,Colombia,72.271111,4.607494,5756.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5757_2026-04-01,VCS,verra,5757,Grouped Solar Lamp distribution project in Africa#1,2026-04-02,Ethiopia,38.74,9.029999,5757.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5759_2026-04-01,VCS,verra,5759,Reducing Food Loss and Waste in Israel,2026-04-02,Israel,34.89216,32.20751,5759.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5783_2026-04-01,VCS,verra,5783,Green Gold Loreto 2,2026-04-02,Peru,-74.197392,-2.786734,5783.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5784_2026-04-01,VCS,verra,5784,Malaysia Grouped Biomass Waste Stabilization and Pelletization Project by Taiyo Biomass,2026-04-02,Malaysia,103.98572,1.4635,5784.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5785_2026-04-01,VCS,verra,5785,Scaw Rooftop Solar PV Grouped Project,2026-04-02,South Africa,28.1675,26.278052,5785.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5786_2026-04-01,VCS,verra,5786,MYANMAR CARBON PROGRAM OF RICE-FIELD FOR GREENHOUSE GAS REDUCTION IN AREAS OF THE CENTRAL AND NORTHERN,2026-04-02,Myanmar,96.670208,17.795513,5786.json,True,3,3,0,3,0,3,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5800_2026-04-01,VCS,verra,5800,Robinway Dairy Advanced Solid Separation Project,2026-04-02,United States,-87.919632,43.962606,5800.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5801_2026-04-01,VCS,verra,5801,Dugan Family Farms Advanced Solid Separation Project,2026-04-02,United States,-114.590308,42.707967,5801.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5806_2026-04-01,VCS,verra,5806,Tausi Tanzania,2026-04-02,"Tanzania, United Republic of",35.82208,-7.769961,5806.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5814_2026-04-01,VCS,verra,5814,THAILAND CARBON PROGRAM OF RICE-FIELD FOR ALTERNATIVE WET AND DRY IN THE AREAS OF THE CENTRAL AND NORTHERN,2026-04-02,Thailand,100.149075,19.371558,5814.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5815_2026-04-01,VCS,verra,5815,Bio2Watt Bronkhorstspruit Biogas project,2026-04-02,South Africa,28.605554,25.91305,5815.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5817_2026-04-01,VCS,verra,5817,BIOGAS TO ENERGY GROUPED PROJECT – MEXICO,2026-04-02,Mexico,-96.095278,18.959167,5817.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5819_2026-04-01,VCS,verra,5819,JIANGMEN MSW INCINERATION AND POWER GENERATION,2026-04-02,China,113.02925,22.6785,5819.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5822_2026-04-01,VCS,verra,5822,Mwenga Hydro Power Project,2026-04-02,"Tanzania, United Republic of",35.691812,8.62184,5822.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5827_2026-04-01,VCS,verra,5827,Scaw Electric Arc Furnace Efficiency Project,2026-04-02,South Africa,28.1675,26.27805,5827.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5833_2026-04-01,VCS,verra,5833,1397 TPD Bundled Composting Project by EOFPL,2026-04-02,India,88.448059,26.745685,5833.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5836_2026-04-01,VCS,verra,5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,2026-04-02,Brazil,62.850833,6.400553,5836.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5841_2026-04-01,VCS,verra,5841,EnviroServ Waste-to-Energy Grouped Project,2026-04-02,South Africa,22.9375,-30.5595,5841.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5845_2026-04-01,VCS,verra,5845,Nunukan Mangrove & Peatland Project,2026-04-02,Indonesia,117.352101,3.954773,5845.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5846_2026-04-01,VCS,verra,5846,"Beetle Regen: Advancing Low-Emission Regenerative Agriculture through Improved land management in Aurangabad, Maharashtra",2026-04-02,India,75.3,19.66,5846.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5850_2026-04-01,VCS,verra,5850,NAM KAIO HYDRO POWER PROJECT,2026-04-02,Lao People's Democratic Republic,103.865692,19.17875,5850.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5851_2026-04-01,VCS,verra,5851,10.2MW Nam Yeim Hydro Power Project,2026-04-02,Lao People's Democratic Republic,103.985888,19.035944,5851.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5860_2026-04-01,VCS,verra,5860,Ningxia Junfeng Siguquan Coal Mine Well No.2 CMM Heating Project,2026-04-02,China,106.749177,37.179012,5860.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5862_2026-04-01,VCS,verra,5862,Tubura Forest Landscape Restoration Program,2026-04-02,Rwanda,30.0619,-1.9441,5862.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5871_2026-04-01,VCS,verra,5871,"Biogas Plant at Gujjar Colony, Lahore",2026-04-02,Pakistan,74.3301,31.4214,5871.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5876_2026-04-01,VCS,verra,5876,Kablaki Agroforestry for Small Farmers Program,2026-04-02,Timor-Leste,125.828,9.0145,5876.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5878_2026-04-01,VCS,verra,5878,GEOPOLY Geopolymer Cement Project in Jiaozuo,2026-04-02,China,113.443432,35.371546,5878.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5879_2026-04-01,VCS,verra,5879,Amazon Forest Landscape Restoration - Outgrowers Component,2026-04-02,Peru,-8.543193,-74.812032,5879.json,True,2,2,0,2,0,2,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5883_2026-04-01,VCS,verra,5883,Guizhou Qinglong CMM Phase IV Power Generation Project,2026-04-02,China,106.149996,26.991845,5883.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5884_2026-04-01,VCS,verra,5884,Guizhou Zhongxin CMM Power Generation Project,2026-04-02,China,106.01464,27.19603,5884.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5885_2026-04-01,VCS,verra,5885,Guizhou Anshun CMM Power Generation Project,2026-04-02,China,105.898987,26.344225,5885.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5886_2026-04-01,VCS,verra,5886,Guizhou Jiangxi CMM Power Generation Project,2026-04-02,China,105.996386,26.675,5886.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5887_2026-04-01,VCS,verra,5887,Bell Enviro -Malaysia Integrated Municipal Solid Waste Recovery and Processing Project,2026-04-02,Malaysia,101.55254,3.30609,5887.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5903_2026-04-01,VCS,verra,5903,Gewan District Cooling Plant,2026-04-02,Qatar,51.53472,25.372222,5903.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5904_2026-04-01,VCS,verra,5904,Future Ecology Soil Organic Carbon Enhancement Project,2026-04-02,Kazakhstan,66.5,53.0,5904.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5907_2026-04-01,VCS,verra,5907,Future Ecology Improved Agricultural Land Management Project,2026-04-02,Kazakhstan,66.816665,52.233333,5907.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5911_2026-04-01,VCS,verra,5911,Maamba 100MW PV Solar Project,2026-04-02,Zambia,27.194579,17.382553,5911.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5930_2026-04-01,VCS,verra,5930,Charged EV Project in Indonesia,2026-04-02,Indonesia,117.9,-2.5,5930.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5935_2026-04-01,VCS,verra,5935,Clean Bricks Production in Pakistan,2026-04-02,Pakistan,74.358749,31.782806,5935.json,True,1,1,0,0,0,1,"Havia documentos espaciais, mas sem poligono de area; usada latitude/longitude."
VCS_5940_2026-04-01,VCS,verra,5940,TGRA Improved Rice Production in India,2026-04-02,India,79.266924,17.050441,5940.json,True,1,1,0,1,0,1,"Havia documento espacial, mas com erro de leitura (parse); usada latitude/longitude."
VCS_5954_2026-04-01,VCS,verra,5954,Yunyang County No.2 Domestic Waste Landfill Gas Power Generation Project,2026-04-02,China,108.609656,30.987189,5954.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5955_2026-04-01,VCS,verra,5955,CASCAVEL LANDFILL GAS PROJECT,2026-04-02,Brazil,57.296405,24.983751,5955.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
VCS_5962_2026-04-01,VCS,verra,5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia.",2026-04-02,Indonesia,102.863266,2.60603,5962.json,True,0,0,0,0,0,0,Sem documentos espaciais; usada apenas latitude/longitude de referencia.
