record_id,standard_acronym,project_public_id,project_name,country_standard,project_type,project_status,geometry_type,wkt
BCR_109_2026-04-01,BCR,BCR-TR-195-13-001,AREL MILAS LFG & BIOMETHANISATION PLANT PROJECT,Türkiye,Waste handling and disposal,Listed,Point,POINT (27.745137 37.334777)
BCR_110_2026-04-01,BCR,BCR-AR-131-1-005,Lindero PV Captive Power Plant with BESS Integration,Argentina,Energy Industries - renewable/non-renewable sources,Listed,Point,POINT (-67.75 -25.75)
BCR_111_2026-04-01,BCR,BCR-TR-259-13-001,ASKOC DIYARBAKIR BIOGAS PLANT,Türkiye,Waste handling and disposal,Listed,Point,POINT (39.916823 37.891538)
BCR_112_2026-04-01,BCR,BCR-CL-151-1-001,Andes Solar IV,Chile,Renewable Energy,Listed,Point,POINT (-68.572113 -24.021084)
BCR_113_2026-04-01,BCR,BCR-CO-666-14-002,REDD+ Llanos del Yarí – Yaguara II,Colombia,Reduced emissions from deforestation & degradation,Listed,Point,POINT (-73.58209 1.77105)
VCS_5639_2026-04-01,VCS,5639,Sustainable Grassland Management Project in Sukhbaatar Province,Mongolia,VCS Version 3,Under development,Point,POINT (114.023887 45.326388)
VCS_5640_2026-04-01,VCS,5640,Sustainable Grassland Management Project in Tov Province,Mongolia,VCS Version 3,Under development,Point,POINT (106.599719 47.134444)
VCS_5645_2026-04-01,VCS,5645,CBG PROJECT BY SILVERTOAN PAPERS LIMITED,India,VCS Version 3,Registration and verification approval requested,Point,POINT (77.786225 29.468757)
VCS_5646_2026-04-01,VCS,5646,Mkomazi Alienfuel Avoided Landfilling Project,South Africa,VCS Version 3,Registration requested,Point,POINT (30.775405 -30.179233)
VCS_5648_2026-04-01,VCS,5648,Guizhou Wangjiazhai CMM Power Generation Project,China,VCS Version 3,Registered,Point,POINT (105.46233 26.78408)
VCS_5649_2026-04-01,VCS,5649,Cquestra,Pakistan,VCS Version 3,Under development,Point,POINT (69.808287 27.967043)
VCS_5650_2026-04-01,VCS,5650,Akdeniz Landfill Gas Power Plant,T?rkiye,VCS Version 3,Under validation,Point,POINT (34.756505 36.896879)
VCS_5654_2026-04-01,VCS,5654,EMPLOYEE MICRO-MOBILITY COMMUTING AND BUSINESS TRANSPORTATION EMISSION REDUCTION PLAN,China,VCS Version 3,Under validation,Point,POINT (121.032536 24.983821)
VCS_5656_2026-04-01,VCS,5656,Henan Juji CMM Power Generation Project,China,VCS Version 3,Registration requested,Point,POINT (116.50059 33.92819)
VCS_5657_2026-04-01,VCS,5657,The Smart Aircraft Charging Network (United Kingdom),United Kingdom,VCS Version 3,Under validation,Point,POINT (-0.29049 50.83336)
VCS_5661_2026-04-01,VCS,5661,Costa Rica Landfill Gas Project,Costa Rica,VCS Version 3,Registration requested,Point,POINT (-84.156729 9.966251)
VCS_5662_2026-04-01,VCS,5662,Brazilian Citrus Program For Climate Adaptation,Brazil,VCS Version 3,Under development,Point,POINT (-48.406835 -19.327555)
VCS_5666_2026-04-01,VCS,5666,EnviroServ LFG Grouped Project,South Africa,VCS Version 3,Registration requested,Point,POINT (18.53375 -33.766852)
VCS_5668_2026-04-01,VCS,5668,A-Gas South Africa 2,South Africa,VCS Version 3,Registration and verification approval requested,Point,POINT (28.233 -25.9414)
VCS_5674_2026-04-01,VCS,5674,Guizhou Faer CMM Power Generation Project,China,VCS Version 3,Registration requested,Point,POINT (104.72974 26.3173)
VCS_5675_2026-04-01,VCS,5675,Henan Liangbei CMM Power Generation Project,China,VCS Version 3,Under validation,Point,POINT (113.4493 34.11767)
VCS_5676_2026-04-01,VCS,5676,MISITU ARR PROJECT - MT. KENYA REGION,Kenya,VCS Version 3,Under development,Point,POINT (37.59 0.25)
VCS_5677_2026-04-01,VCS,5677,Guizhou Longfeng CMM Power Generation Project,China,VCS Version 3,Registration requested,Point,POINT (106.211663 27.347244)
VCS_5685_2026-04-01,VCS,5685,CBG Generation from Agro Waste,India,VCS Version 3,Under validation,Point,POINT (80.364582 27.4123)
VCS_5686_2026-04-01,VCS,5686,Shanxi Lvliang Junliu CMM Power Generation Project,China,VCS Version 3,Registration and verification approval requested,Point,POINT (110.994117 37.332954)
VCS_5690_2026-04-01,VCS,5690,RAMA GREEN BIO-CNG PROJECT IN INDIA,India,VCS Version 3,Under validation,Point,POINT (77.068998 29.76454)
VCS_5692_2026-04-01,VCS,5692,"Improved Cookstove Initiative in Karatu District, Tanzania","Tanzania, United Republic of",VCS Version 3,Under validation,Point,POINT (36.682995 3.386925)
VCS_5695_2026-04-01,VCS,5695,Siluk Peatlands Conservation Project (SPCP),Indonesia,VCS Version 3,Under validation,Point,POINT (112.80812 0.997319)
VCS_5698_2026-04-01,VCS,5698,Qingdao Haier Recycling Industry E-waste recovery and utilization Project,China,VCS Version 3,Registration and verification approval requested,Point,POINT (120.566828 36.636302)
VCS_5700_2026-04-01,VCS,5700,EcoHarvest Sustainable Agriculture Project,Kazakhstan,VCS Version 3,Under validation,Point,POINT (69.27861 52.556103)
VCS_5701_2026-04-01,VCS,5701,Sustainable Regenerative Agriculture Project with Ecologically Oriented and Organic Integration,Kazakhstan,VCS Version 3,Under validation,Point,POINT (70.991 51.699)
VCS_5711_2026-04-01,VCS,5711,CO2 Utilization in Concrete – Removals & Reductions – CarbonCure – International Project #1,United States,VCS Version 3,Under validation,Point,POINT (-121.890556 37.336111)
VCS_5712_2026-04-01,VCS,5712,VIETNAM ELECTRIC VEHICLE CHARGING SYSTEM(VEVCS),Viet Nam,VCS Version 3,Under validation,Point,POINT (107.102166 10.352831)
VCS_5713_2026-04-01,VCS,5713,Afforestation Project in Mongolia,Mongolia,VCS Version 3,Under development,Point,POINT (104.933333 48.866666)
VCS_5715_2026-04-01,VCS,5715,IGL Grouped Waste to CBG Project,India,VCS Version 3,Under validation,Point,POINT (77.063333 28.821387)
VCS_5716_2026-04-01,VCS,5716,SALVADOR BIOMETHANE PROJECT,Brazil,VCS Version 3,Under validation,Point,POINT (-38.3668 -12.8629)
VCS_5717_2026-04-01,VCS,5717,CO2 Utilization in Concrete - Carbicrete's Canal Block Plant,Canada,VCS Version 3,Under validation,Point,POINT (-79.267276 42.939387)
VCS_5727_2026-04-01,VCS,5727,Methane emissions reduction through feed supplement for ruminant animals in Kenya by AgCoTech,Kenya,VCS Version 3,Under development,Point,POINT (37.129165 1.742498)
VCS_5733_2026-04-01,VCS,5733,Methane emissions reduction through feed supplement for ruminant animals in Cambodia by AgCoTech,Cambodia,VCS Version 3,Under development,Point,POINT (104.91601 11.56245)
VCS_5734_2026-04-01,VCS,5734,Methane emissions reduction through feed supplement for ruminant animals in Lesotho by AgCoTech,Lesotho,VCS Version 3,Under development,Point,POINT (28.23347 -29.62319)
VCS_5735_2026-04-01,VCS,5735,Methane emissions reduction through feed supplement for ruminant animals in Thailand by AgCoTech,Thailand,VCS Version 3,Under development,Point,POINT (100.992541 15.870032)
VCS_5736_2026-04-01,VCS,5736,Kapuas Pisau Conservation Project,Indonesia,VCS Version 3,Under validation,Point,POINT (114.0296 -1.782633)
VCS_5737_2026-04-01,VCS,5737,Beypi Poultry Waste to Energy Project,T?rkiye,VCS Version 3,Under development,Point,POINT (31.680877 40.741373)
VCS_5744_2026-04-01,VCS,5744,Stickland Municipal Composting Project,Canada,VCS Version 3,Under validation,Point,POINT (-113.973746 52.161759)
VCS_5745_2026-04-01,VCS,5745,VATTHANA Cassava Starch Plant Carbon Emission Reduction Project in Laos,Lao People's Democratic Republic,VCS Version 3,Under validation,Point,POINT (106.114 15.693)
VCS_5753_2026-04-01,VCS,5753,CARBON DISCLOSURE SA SOLAR PV GROUPED PROJECT 2,South Africa,VCS Version 3,Under development,Point,POINT (18.670475 -33.817422)
VCS_5755_2026-04-01,VCS,5755,SATROKALA ARR GROUPED PROJECT,Madagascar,VCS Version 3,Under validation,Point,POINT (45.71535 -22.330563)
VCS_5756_2026-04-01,VCS,5756,El Estero biogas recovery and utilization,Colombia,VCS Version 3,Under development,Point,POINT (72.271111 4.607494)
VCS_5757_2026-04-01,VCS,5757,Grouped Solar Lamp distribution project in Africa#1,Ethiopia,VCS Version 3,Under development,Point,POINT (38.74 9.029999)
VCS_5759_2026-04-01,VCS,5759,Reducing Food Loss and Waste in Israel,Israel,VCS Version 3,Under validation,Point,POINT (34.89216 32.20751)
VCS_5783_2026-04-01,VCS,5783,Green Gold Loreto 2,Peru,VCS Version 3,Under validation,Point,POINT (-74.197392 -2.786734)
VCS_5784_2026-04-01,VCS,5784,Malaysia Grouped Biomass Waste Stabilization and Pelletization Project by Taiyo Biomass,Malaysia,VCS Version 3,Under development,Point,POINT (103.98572 1.4635)
VCS_5785_2026-04-01,VCS,5785,Scaw Rooftop Solar PV Grouped Project,South Africa,VCS Version 3,Under development,Point,POINT (28.1675 26.278052)
VCS_5786_2026-04-01,VCS,5786,MYANMAR CARBON PROGRAM OF RICE-FIELD FOR GREENHOUSE GAS REDUCTION IN AREAS OF THE CENTRAL AND NORTHERN,Myanmar,VCS Version 3,Under validation,Point,POINT (96.670208 17.795513)
VCS_5800_2026-04-01,VCS,5800,Robinway Dairy Advanced Solid Separation Project,United States,VCS Version 3,Under validation,Point,POINT (-87.919632 43.962606)
VCS_5801_2026-04-01,VCS,5801,Dugan Family Farms Advanced Solid Separation Project,United States,VCS Version 3,Under validation,Point,POINT (-114.590308 42.707967)
VCS_5806_2026-04-01,VCS,5806,Tausi Tanzania,"Tanzania, United Republic of",VCS Version 3,Under development,Point,POINT (35.82208 -7.769961)
