record_id,standard_acronym,project_public_id,project_name,country_standard,project_type,project_status,geometry_type,project_url,redd_redd_plus_classification,redd_redd_plus_basis,wkt,original_wkt,coordinate_fix_applied
VCS_1027_2026-04-01,VCS,1027,"IWC BRAZILIAN AMAZON GROUPED REDD APD, AUPD AND BIOMASS TO FUEL PROJECTS",Brazil,Agriculture Forestry and Other Land Use,Under development,Point,https://registry.verra.org/app/projectDetail/VCS/1027,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-48.480831999999999 -3.245556),,
VCS_1047_2026-04-01,VCS,1047,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar",Madagascar,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1047,REDD/REDD+,project_subcategories: REDD,POINT (47.299042 -22.27252),,
VCS_1052_2026-04-01,VCS,1052,North Pikounda REDD+,Congo,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1052,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (16.181197000000001 0.824273),,
VCS_1067_2026-04-01,VCS,1067,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,Peru,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1067,REDD/REDD+,project_name: reduction of deforestation; project_subcategories: REDD,POINT (-69.952832000000001 -13.033343),,
VCS_1094_2026-04-01,VCS,1094,Ecomapua Amazon REDD Project,Brazil,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/1094,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-50.427069000000003 -1.050581),,
VCS_1112_2026-04-01,VCS,1112,The Russas Project,Brazil,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1112,REDD/REDD+,project_description: REDD; project_subcategories: REDD,POINT (-72.642201 -8.095019000000001),,
VCS_1113_2026-04-01,VCS,1113,The Valparaiso Project,Brazil,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1113,REDD/REDD+,project_description: REDD; project_subcategories: REDD,POINT (-72.606003000000001 -8.116398),,
VCS_1115_2026-04-01,VCS,1115,JARI/AMAPÁ REDD+ PROJECT,Brazil,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1115,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-52.372455000000002 0.816536),,
VCS_1118_2026-04-01,VCS,1118,Suruí Forest Carbon Project,Brazil,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1118,REDD/REDD+,project_subcategories: REDD,POINT (-61.151479000000002 -11.009945),,
VCS_1122_2026-04-01,VCS,1122,April Salumei Rainforest Community Conservation Project,Papua New Guinea,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1122,REDD/REDD+,project_description: REDD; project_subcategories: REDD,POINT (142.679259000000002 -4.66352),,
